abs_mean_x	abs_mean_y	abs_mean_z	complexity_x	complexity_y	complexity_z	signal_power_x	signal_power_y	signal_power_z	spectral_entropy_x	spectral_entropy_y	spectral_entropy_z	corr_xy1	corr_yz1	count_cross_xy	mu_x	sigma_x	kurtosis_x	max_x	sum_x	max_fs_x	sigma_y	sum_y	max_fs_y	vpp_z	min_z	sum_z	max_fs_z	goalClass
99.53	173.53	994.69	17899.76	15346.35	10695.99	1378.96	1617.39	2276.29	4.29	4.62	5.09	0.06	-0.31	41.00	-5.39	128.05	0.41	409.62	-889.89	7.00	115.24	-27026.21	0.00	758.54	709.71	164123.72	0.00	E
97.02	179.71	972.96	15115.45	14114.78	10401.01	1375.45	1600.68	2241.63	4.44	4.59	5.08	0.11	-0.14	18.00	-7.19	118.46	-0.38	290.91	-1172.54	6.00	127.61	-27196.15	0.00	549.32	667.94	158592.65	0.00	E
92.02	164.42	980.76	15258.01	12244.27	10359.32	1336.52	1592.51	2258.26	4.33	4.61	5.09	0.08	-0.04	28.00	-1.22	116.46	0.17	319.96	-199.36	3.00	104.18	-26032.23	0.00	506.00	683.75	160844.96	0.00	E
105.81	163.46	977.23	15333.13	11852.09	9988.31	1432.96	1602.39	2256.84	4.46	4.64	5.08	0.19	-0.14	26.00	-2.18	127.67	-0.07	283.12	-357.64	18.00	96.19	-26085.12	0.00	480.18	721.74	160266.50	0.00	E
109.71	186.04	989.26	17092.79	12675.27	11177.77	1400.75	1655.73	2260.32	4.18	4.62	5.07	0.11	-0.50	26.00	-15.51	141.36	1.70	481.16	-2544.38	1.00	106.75	-29869.90	0.00	1105.36	774.55	162239.14	0.00	E
138.91	181.43	997.79	21808.74	14278.27	11393.94	1385.22	1628.30	2262.17	2.98	4.69	5.08	-0.28	-0.38	29.00	11.34	247.62	18.22	1611.75	1858.98	36.00	105.53	-28873.96	0.00	1406.45	207.02	163636.85	0.00	E
98.19	196.23	997.63	17825.08	18079.96	11992.36	1516.89	1832.86	2498.42	4.27	4.75	5.18	0.03	-0.36	27.00	9.06	128.33	1.60	450.76	1638.96	1.00	126.58	-33408.20	0.00	678.15	730.32	180570.17	0.00	E
106.64	173.85	974.85	17254.20	15940.15	12014.85	1376.21	1607.08	2255.72	4.15	4.58	5.08	-0.17	-0.46	26.00	-1.71	140.06	2.03	371.13	-280.83	20.00	135.65	-24799.32	0.00	744.85	506.15	159875.59	0.00	E
126.44	181.54	992.87	21632.45	15622.52	12529.93	1560.57	1733.50	2413.45	4.29	4.66	5.14	-0.13	-0.23	40.00	12.81	161.02	1.41	706.71	2241.11	4.00	118.33	-30594.83	0.00	572.74	776.20	173752.74	0.00	E
103.53	176.76	965.50	18281.31	13612.86	9662.57	1341.66	1603.63	2252.90	3.88	4.55	5.08	0.15	0.04	36.00	-18.49	144.72	3.98	378.38	-3033.13	1.00	116.23	-28286.17	0.00	508.92	724.63	158341.95	0.00	E
70.86	225.67	950.82	10163.96	7099.08	6490.02	1276.77	1784.59	2276.06	4.25	4.94	5.11	-0.23	0.14	8.00	-11.26	91.26	0.52	234.29	-1869.14	17.00	67.15	-37461.90	0.00	453.68	629.20	157835.61	0.00	I
76.74	246.57	964.14	11817.97	9493.04	6069.98	1273.90	1780.01	2253.34	4.20	4.94	5.09	-0.43	0.04	13.00	10.55	100.33	0.96	238.06	1729.59	17.00	74.96	-40435.00	0.00	239.06	861.84	158118.15	0.00	I
62.86	223.90	966.44	8998.30	6014.68	4974.60	1203.34	1764.83	2254.16	4.12	4.99	5.10	-0.42	0.04	5.00	-8.64	82.58	2.08	245.49	-1417.45	6.00	53.93	-36719.47	0.00	327.32	806.70	158496.09	0.00	I
154.09	229.13	969.60	20670.97	18538.18	7561.65	1486.97	1699.11	2254.85	3.98	4.51	5.09	-0.57	-0.14	50.00	-106.74	181.42	5.46	527.37	-17505.53	0.00	156.22	-36301.61	0.00	361.62	765.46	159014.61	0.00	I
1518.00	859.82	2099.78	264617.69	126701.38	215030.89	1476.34	1797.21	2309.48	1.11	1.14	1.23	1.00	1.00	34.00	-448.73	10130.56	52.53	77991.07	-74488.90	47.00	4478.27	-67426.76	44.00	129205.32	-63599.66	107352.07	46.00	I
86.46	242.42	969.92	15039.24	10869.40	7190.01	1255.89	1803.54	2282.70	3.05	4.83	5.11	-0.19	0.45	10.00	-23.74	148.63	17.60	471.92	-3941.28	0.00	101.87	-39430.33	0.00	476.92	715.92	161007.38	0.00	I
91.99	253.75	946.36	14245.89	11796.20	7353.27	1336.77	1776.56	2247.03	4.21	4.86	5.09	-0.39	0.14	24.00	-32.78	115.30	1.14	349.88	-5375.78	0.00	96.73	-41608.57	0.00	320.07	787.09	155202.77	0.00	I
91.91	255.05	970.75	15524.63	12067.21	8270.62	1341.10	1796.79	2268.98	4.29	4.92	5.10	-0.14	0.24	16.00	-21.25	116.39	0.46	310.09	-3505.68	9.00	106.63	-40888.17	0.00	355.95	771.66	160173.59	0.00	I
225.07	278.17	952.08	29939.84	25148.25	13178.80	1677.01	1779.25	2288.89	4.41	4.52	5.10	-0.56	-0.18	52.00	-161.79	228.82	0.12	517.95	-27019.11	0.00	201.98	-44066.00	0.00	749.41	605.46	158997.30	0.00	I
180.46	268.11	968.19	24480.87	18845.69	10248.31	1569.08	1751.58	2253.86	4.26	4.64	5.08	-0.39	0.07	44.00	-125.49	193.67	1.51	389.22	-20581.02	0.00	162.63	-42948.93	0.00	520.87	685.66	158783.32	0.00	I
75.36	190.71	967.71	12573.28	13448.59	6172.98	1183.78	1657.30	2254.28	4.24	4.69	5.09	-0.26	-0.20	21.00	12.96	98.78	0.84	238.95	2125.70	8.00	118.00	-29452.48	0.00	379.35	761.00	158704.89	0.00	N
152.73	210.30	996.95	28243.64	25184.05	12091.84	1461.30	1613.68	2248.92	3.54	4.35	5.07	-0.35	-0.26	43.00	11.17	228.14	9.70	1241.61	1820.04	47.00	192.36	-28920.37	0.00	809.58	645.77	162502.78	0.00	N
80.35	179.73	987.00	15176.93	13818.41	6224.08	1281.52	1623.96	2274.63	4.09	4.61	5.10	-0.25	-0.05	26.00	-7.80	109.75	1.22	262.20	-1287.56	35.00	127.55	-27370.03	0.00	366.96	819.69	162854.78	0.00	N
106.04	170.60	978.40	15424.81	17626.01	6731.10	1406.84	1572.54	2257.92	4.34	4.51	5.09	-0.09	-0.29	34.00	-17.08	132.34	0.34	407.69	-2801.90	11.00	157.49	-21756.78	0.00	383.21	740.36	160457.53	0.00	N
88.06	205.70	965.51	14993.37	18611.63	8671.34	1293.53	1659.76	2252.73	2.92	4.50	5.08	0.11	0.08	34.00	-29.12	147.46	22.92	368.76	-4775.30	0.00	168.44	-28924.87	0.00	679.96	537.39	158343.35	0.00	N
115.30	180.37	973.49	17771.66	16444.71	8430.55	1408.27	1638.94	2283.73	3.95	4.58	5.10	-0.04	-0.27	28.00	-36.53	155.35	4.06	626.80	-6063.18	0.00	135.08	-27007.56	0.00	341.42	798.16	161600.11	0.00	N
86.89	182.71	974.69	14250.71	16131.59	7295.19	1317.45	1612.77	2256.68	4.26	4.60	5.09	-0.03	-0.12	37.00	-20.40	111.03	0.63	324.44	-3345.28	15.00	139.64	-26542.05	0.00	437.63	786.37	159848.51	0.00	N
128.28	179.10	979.34	22418.49	21147.64	10655.34	1455.15	1559.39	2257.62	4.22	4.42	5.08	-0.26	-0.01	45.00	-25.98	164.72	0.84	431.55	-4261.42	29.00	157.12	-25514.96	0.00	394.37	769.76	160611.26	0.00	N
125.28	177.69	974.72	20443.21	20019.83	11269.46	1401.23	1581.54	2214.41	3.95	4.48	5.06	-0.07	-0.12	54.00	-51.41	161.83	4.78	300.09	-8277.40	0.00	148.16	-24338.24	0.00	668.03	698.13	156929.32	0.00	N
137.00	227.09	997.91	24128.44	24402.34	9431.24	1465.73	1653.43	2250.17	4.11	4.44	5.08	0.01	-0.00	43.00	1.23	182.19	1.61	499.08	199.88	6.00	203.07	-30518.14	0.00	592.13	752.86	162658.76	0.00	N
